891592296	253104298	307633236	825264036	949728842	798311013	991617194	2
41597518	826476697	581441475	578050004	435304109	734846354	252164509	92275157
676947955	184770466	763121565	511296688	782963946	202992528	816384707	301459872
629552021	25096961	811385376	325459679	395130940	332708133	337987596	227962038
788819175	741493773	188994028	354039442	774683786	740206811	195304579	212341639
973923311	638545162	517666353	919720242	689392051	968008925	51857688	33611923
203474914	80504610	931447563	338103502	674686517	673479860	3372360	820078752
185273300	222072312	571590988	91647123	159657419	42847096	832908123	164920
898102453	950134012	383198373	841256690	874158153	859948531	453454361	917264626
650654054	988733520	190294415	926817438	633263175	304336500	895944800	159204722
252912844	762378431	469313449	61388426	127344575	357100094	307836480	122754341
113704495	705869757	367169506	844120776	999496933	793909192	273486697	879913944
727671331	921240052	998383933	806233127	970131678	500899827	584220400	796462030
414317988	2067933	48778510	907037382	577247670	777904171	982493226	309447006
964627149	942842578	405747908	379207103	963594675	241383359	228311521	730215840
380529252	243311282	763455879	220246583	570703913	219809861	766119090	514381301
202653241	392766418	135367962	509655114	729412301	441770968	10960598	881974045
774006087	332991789	768116489	260295213	615954120	738952115	575884944	770746742
580258115	431610395	797220815	781272605	107548053	290450470	797976381	748196201
179148282	399267332	394796912	742126788	204414374	197307486	270267358	893458354
931999998	33268699	781289784	909980447	47180606	970759584	480210148	698114905
356775488	951863692	52116273	56721908	219454895	229981329	739198622	435974093
724077363	581479703	57989679	767590979	718781129	656453202	212336519	659352939
774614994	333103022	342585240	901037119	408412655	334506226	460635279	665754551
678221412	673965150	245511382	980517908	274792425	739261731	393261692	854173079
262696569	524417987	552042987	816092535	327660444	547318791	455457214	263498362
543400226	606704751	775079389	295805219	894804549	809462740	529791590	266985279
151513568	15147682	632604655	492644840	18601211	287082370	827160563	991723386
353224126	431140146	833292176	901934544	616678051	219687787	174019737	432941274
886903683	841165189	445290619	281002274	677809757	669743803	850128346	169752110
882547967	70872877	342878204	4065545	136843401	166486113	961298574	298882313
40033339	276574805	415960508	905928283	709346837	762678372	449527974	339965755
225679770	938003429	698428864	220535053	136990256	162753352	27340774	937978115
942747068	814162499	392279144	374078976	384447568	694121148	71684258	210169850
31350509	612227052	103800954	928593972	206189113	754328951	275795845	252436394
143668315	124307518	164080222	119582991	311515109	551756010	817569698	887432042
25034858	160827858	606306977	717046989	571689758	266029351	661334979	437261399
239012480	990574913	844224268	351467376	879922940	467738474	501368058	459165452
357318804	260437356	693389973	550894235	415396431	75223970	200903321	257412404
85490097	179947090	183320355	893212834	704237862	136621659	177103449	743593703
